Time;SpeedRpm;SpeedKmph;GasSignal;LapNumber;MotorCommError;AssistantSwitch;BmsCommError;BmsRelays;BmsPower;BmsVoltage;DriveCommand;Energy;AuxiliaryBattery
383,75;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8079
384,3;0,375;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,811
384,8;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8127
385,35;76,25;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8116
385,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8095
386,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8082
386,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8084
387,4;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8094
387,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8123
388,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8099
388,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8119
389,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8103
389,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8083
390,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8087
390,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8103
391,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8118
391,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8118
392,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8104
392,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8105
393,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8064
393,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8086
394,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8085
394,85;76,25;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8133
395,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8108
395,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8106
396,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,809
396,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8081
397,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8095
397,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8077
398,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8125
398,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8124
399,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8083
399,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,809
400,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8102
400,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8111
401,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8093
401,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8087
402,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8127
402,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8099
403,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8097
403,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8101
404,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8086
404,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8095
405,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8086
405,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8111
406,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,811
406,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8082
407,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8096
407,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8076
408,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,808
408,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8068
409,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8056
409,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8105
410,4;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8087
410,9;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8103
411,4;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,808
411,9;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8065
412,4;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8072
412,9;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8118
413,4;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8098
413,9;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8102
414,4;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8094
414,9;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8056
415,4;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8091
415,9;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8067
416,4;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8106
416,9;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8113
417,4;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8085
417,9;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8101
418,4;76,25;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8097
418,9;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8079
419,4;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8061
419,9;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,807
420,4;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8103
